program_id,sponsor,molecule,target,target_class,mechanism,modality,population,domain,mono_or_adjunct,phase,event_type,date,primary_outcome_result,failure_reason_taxonomy,source_tier,source_url,confidence,notes
paliperidone-invega-schizophrenia-approval-us-2006,INVEGA,paliperidone,DRD2 / HTR2A,serotonin-dopamine antagonism,serotonin-dopamine antagonist atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2006-12-19,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22PALIPERIDONE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for INVEGA.
iloperidone-fanapt-schizophrenia-approval-us-2009,FANAPT,iloperidone,DRD2 / HTR2A,serotonin-dopamine antagonism,serotonin-dopamine antagonist atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2009-05-06,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22FANAPT%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for FANAPT.
asenapine-saphris-schizophrenia-approval-us-2009,SAPHRIS,asenapine,DRD2 / HTR2A / multi-receptor,multireceptor atypical antipsychotic,multireceptor atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2009-08-13,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22ASENAPINE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for SAPHRIS.
lurasidone-latuda-schizophrenia-approval-us-2010,LATUDA,lurasidone,DRD2 / HTR2A / HTR7,serotonin-dopamine antagonism,serotonin-dopamine antagonist atypical antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2010-10-28,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22LURASIDONE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for LATUDA.
pomaglumetad-methionil-acute-scz-phase-3-comparison-2014,Eli Lilly and Company,pomaglumetad methionil,GRM2 / GRM3,mGlu2/3 glutamatergic modulation,mGlu2/3 agonist prodrug,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,phase_3,peer_reviewed_primary_results,2014-03-19,inferior_to_aripiprazole_on_panss_total,unresolved,peer_reviewed_primary_results,https://pubmed.ncbi.nlm.nih.gov/24772351/,medium,Phase 3 comparison showed less symptom improvement than aripiprazole despite lower weight gain.
brexpiprazole-rexulti-schizophrenia-approval-us-2015,REXULTI,brexpiprazole,DRD2 / HTR1A / HTR2A,dopamine-serotonin partial agonism,dopamine-serotonin partial agonist antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2015-07-10,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22BREXPIPRAZOLE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for REXULTI.
cariprazine-vraylar-schizophrenia-approval-us-2015,VRAYLAR,cariprazine,DRD2 / DRD3 / HTR1A,dopamine-serotonin partial agonism,dopamine-serotonin partial agonist antipsychotic,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2015-09-17,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22VRAYLAR%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for VRAYLAR.
bitopertin-negative-symptoms-phase-3-results-2017,F. Hoffmann-La Roche,bitopertin,SLC6A9,glycinergic modulation,glycine transporter 1 inhibitor,small_molecule,"adults with persistent, predominant negative symptoms on stable antipsychotics",negative_symptoms,adjunct,phase_3,peer_reviewed_primary_results,2017-07-01,did_not_meet_primary_endpoint,unresolved,peer_reviewed_primary_results,https://pubmed.ncbi.nlm.nih.gov/28117049/,medium,Phase 3 negative-symptom program did not show statistically significant benefit over placebo across the flash/day-light studies.
pimavanserin-advance-negsx-topline-2019,Acadia Pharmaceuticals,pimavanserin,HTR2A,5-HT2A serotonergic modulation,selective 5-HT2A inverse agonist and antagonist,small_molecule,adults with predominant negative symptoms and controlled positive symptoms on stable antipsychotics,negative_symptoms,adjunct,phase_2,topline_readout,2019-11-25,met_primary_endpoint_but_not_key_secondary_psp,not_applicable_nonfailure,company_press_release,https://acadia.com/en-us/media/news-releases/acadia-pharmaceuticals-announces-positive-top-line-results,high,Included so the negative-symptom program history preserves both the earlier positive signal and the later pivotal miss.
lumateperone-caplyta-schizophrenia-approval-us-2019,CAPLYTA,lumateperone,HTR2A / DRD2 / dopamine-serotonin-glutamate modulation,multi-pathway atypical antipsychotic,multimodal dopamine-serotonin-glutamate modulator,small_molecule,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2019-12-20,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22LUMATEPERONE%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for CAPLYTA.
olanzapine-samidorphan-lybalvi-schizophrenia-approval-us-2021,LYBALVI,olanzapine + samidorphan,DRD2 / HTR2A / OPRM1,serotonin-dopamine antagonism with opioid antagonism,olanzapine paired with opioid antagonism to mitigate weight gain liability,small_molecule_combination,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2021-05-28,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22LYBALVI%22&limit=100,high,Core approved schizophrenia program anchored from FDA Drugs@FDA query for LYBALVI.
lu-af35700-trs-phase-3-results-2022,H. Lundbeck A/S,Lu AF35700,DRD1 / DRD2,dopamine D1/D2 antagonism,preferential dopamine D1 over D2 receptor antagonist antipsychotic,small_molecule,adults with treatment-resistant schizophrenia after prior antipsychotic failure,treatment_resistant_schizophrenia,monotherapy,phase_3,peer_reviewed_primary_results,2022-10-01,did_not_demonstrate_superiority_to_active_control,unresolved,peer_reviewed_primary_results,https://pubmed.ncbi.nlm.nih.gov/36115192/,medium,Randomized treatment-resistant schizophrenia study failed to show benefit over active control despite a dedicated TRS design.
ulotaront-diamond-acute-scz-topline-2023,Sumitomo Pharma / Otsuka,ulotaront,TAAR1 / HTR1A,TAAR1-centered modulation,TAAR1 agonist with 5-HT1A agonist activity,small_molecule,acutely psychotic adults with schizophrenia,acute_positive_symptoms,monotherapy,phase_3,topline_readout,2023-07-31,did_not_meet_primary_endpoint,heterogeneity_or_subgroup_dilution,company_press_release,https://www.sumitomo-pharma.com/news/assets/pdf/ene20230731.1.pdf,medium,"Company disclosure highlighted unusually large placebo response, especially in DIAMOND-1, with possible COVID-era conduct effects."
pimavanserin-advance2-negsx-topline-2024,Acadia Pharmaceuticals,pimavanserin,HTR2A,5-HT2A serotonergic modulation,selective 5-HT2A inverse agonist and antagonist,small_molecule,adults with predominant negative symptoms and controlled positive symptoms on stable antipsychotics,negative_symptoms,adjunct,phase_3,topline_readout,2024-03-11,did_not_meet_primary_endpoint,heterogeneity_or_subgroup_dilution,company_press_release,https://acadia.com/en-us/media/news-releases/acadia-pharmaceuticals-announces-top-line-results-phase-3-1,medium,"Active-arm change was similar to phase 2, but placebo response was materially higher than in ADVANCE."
cobenfy-xanomeline-trospium-approval-us-2024,Bristol Myers Squibb,xanomeline + trospium,CHRM1 / CHRM4,muscarinic cholinergic modulation,preferential M1 and M4 muscarinic agonism paired with peripheral antimuscarinic blockade to improve tolerability,small_molecule_combination,adults with schizophrenia,acute_positive_symptoms,monotherapy,approved,regulatory_approval,2024-09-26,approved_for_adults_with_schizophrenia,not_applicable_nonfailure,regulatory,https://www.fda.gov/news-events/press-announcements/fda-approves-drug-new-mechanism-action-treatment-schizophrenia,high,Landmark non-dopaminergic approval relevant to later class-baggage reasoning.
emraclidine-empower-acute-scz-topline-2024,AbbVie,emraclidine,CHRM4,muscarinic cholinergic modulation,selective M4 muscarinic receptor positive allosteric modulator,small_molecule,adults with schizophrenia during acute exacerbation of psychotic symptoms,acute_positive_symptoms,monotherapy,phase_2,topline_readout,2024-11-11,did_not_meet_primary_endpoint,unresolved,company_press_release,https://www.prnewswire.com/news-releases/abbvie-provides-update-on-phase-2-results-for-emraclidine-in-schizophrenia-302301190.html,medium,"Current seed evidence supports recording the miss and keeping muscarinic biology live, but it does not yet justify a molecule-level failure adjudication."
iclepertin-connex-cias-topline-2025,Boehringer Ingelheim,iclepertin,SLC6A9,glycinergic modulation,glycine transporter 1 inhibitor,small_molecule,adults with schizophrenia and cognitive impairment on stable antipsychotics,cognition,adjunct,phase_3,topline_readout,2025-01-16,did_not_meet_primary_or_key_secondary_endpoints,unresolved,company_press_release,https://www.globenewswire.com/fr/news-release/2025/01/16/3010915/0/en/Boehringer-provides-update-on-iclepertin-Phase-III-program-in-schizophrenia.html,medium,"Three phase 3 trials were negative, but this starter table defers stronger class- or target-invalidity claims until broader historical curation is added."
